"Packeta","Zasielkovna"
"Export","Export"
"Order number","Číslo objednávky"
"Full name","Jméno a příjmení"
"Recipient company","Společnost příjemce"
"Recipient Email","Email příjemce"
"Recipient phone number","Telefon příjemce"
"Recipient address","Adresa příjemce"
"Cash on delivery","Dobírka"
"Currency","Měna"
"Total price","Celková cena"
"Pickup point address","Adresa odběr. místa"
"Exported","Exportováno"
"Export date","Datum exportu"
"CSV - only not exported","CSV - Pouze neexportované"
"CSV - all records","CSV - Všechny záznamy"
"Order status","Stav objednávky"
"Yes","Ano"
"No","Ne"
"Orders","Objednávky"
"Add","Přidat"
"Weight from","Hmotnost od"
"Weight to (includes)","Hmotnost do (včetně)"
"Price","Cena"
"Add rule","Přidat pravidlo"
"No orders to export.","Žádné objednávky k exportu."
"Error! No export data found.","Chyba! Nenalezena žádná data pro export."
"Packeta - orders","Zasielkovna - objednávky"
"There was an error during request.","Při požadavku došlo k chybě."
"Widget settings","Nastavení widgetu"
"API key","API klíč"
"Price rules","Cenová pravidla"
"Global settings","Globální nastavení"
"Default price","Výchozí cena"
"Max. weight","Maximální váha"
"Free shipping","Doprava zdarma"
"Rules - other countries","Pravidla - ostatní země"
"Rules CZ","Pravidla CZ"
"Rules SK","Pravidla SK"
"Rules PL","Pravidla PL"
"Rules HU","Pravidla HU"
"Rules RO","Pravidla RO"
"Payment methods","Platební metody"
"The payment methods selected above will be considered as cash on delivery (for Packeta).","Platební metody vybrané výše budou považovány za platební metody na dobírku (pro Zasielkovnu)."
"Weight from must be less than Weight to (includes)","Hmotnost od musí být menší než Hmotnost do (včetně)"
"The weight intervals must not overlap:","Váhové intervaly se nesmí překrývat:"
"Some prices are not filled","Některé ceny nejsou vyplněné"
"The weight interval exceeds the global maximum weight:","Váhový interval překračuje globální maximální váhu:"
"The API key length must have %d characters!","Délka API klíče musí být %d znaků!"
"The specified API key is not valid!","Zadaný API klíč není platný !"
"Select pick-up point","Vybrat výdejní místo"
"Method Name","Název metody"
"Purchase Date","Datum objednávky"
"Title","Název"
"Enabled","Povoleno"
"Sort Order","Řazení"
"Version","Verze"
"Action","Akce"
"Actions","Akce"
"Search","Hledat"
"Reset Filter","Zrušit filtr"
"records found","záznamů nalezeno"
"per page", "na stránku"
"Export to:","Exportovat:"
"Any","Žádný"
"selected","vybráno"
"Submit","Odeslat"
"Select All","Vybrat vše"
"Unselect All","Odznačit vše"
"Select Visible", "Označit stránku"
"Unselect Visible", "Odznačit stránku"
"Mass Actions","Hromadné akce"
"of %1","z %1"
"From","Od"
"To","Do"
